app_name,textfield_id,called_functions,gen_text_inputs,data_id,required_function_call
Settings,search_src_text_137_106,['get_samsung_product_info'],"[['Display options', 'Network settings', 'Network configuration', 'Sound settings', 'Odyssey G7']]",[93],
org.koitharu.kotatsu,searchView_198_119,[],"[['Naruto', 'One Piece', 'Tokyo Ghoul', 'Comedy', 'Attack on Titan']]",[1],
Galaxy Store,search_src_text_153_118,[],"[['Galaxy S21 Ultra', 'Fashion trends', 'Music streaming', 'get_samsung_product_info({ ""product_type"": ""watch"" })', '검은사막 모바일 for samsung']]",[95],
Galaxy Store,coupon_edit_89_1912,"['get_galaxy_store_coupon_code', 'get_galaxy_store_coupon_code', 'get_galaxy_store_coupon_code', 'get_galaxy_store_coupon_code', 'get_galaxy_store_coupon_code']","[['ref-gf8ff4', 'ref-3iwi87', 'ref-d5nzrs', 'ref-gf8ff4', 'ref-g9e5ft']]",[94],get_galaxy_store_coupon_code
Galaxy Store,name_86_725,"['get_friend_profile', 'get_friend_profile']","[['Jade Green', 'Jade Green', 'Jade Green', 'Michelle Sanders', 'Leroy Johnston']]",[96],
Galaxy Store,phoneNumber_86_1846,[],"[['(+82)10-6478-2959', '(+82)10-1234-5678', '(+82)10-9876-5432', '(+82)10-6478-2959', '(+82)10-7654-3210']]",[97],
SmartThings,inviteAccountText_63_463,"['get_friend_profile', 'get_friend_profile']","[['jadegreen@example.com', 'jadegreen2@example.com', 'anony1017mous@gmail.com', 'jamie.obrien@example.com', 'leroy.johnston@example.com']]",[98],get_friend_profile
SmartThings,edit_text_name_47_303,[],"[['Green Oasis', 'Sunset Retreat', 'Social Hub', ""Jade's Haven"", 'Green Retreat']]",[100],
SmartThings,search_src_text_137_178,"['get_samsung_product_info', 'get_samsung_product_info', 'get_samsung_product_info']","[['Samsung SmartThings Hub', 'Galaxy S21', 'Galaxy Watch3', 'Odyssey G7', 'Smart TV']]",[99],get_samsung_product_info
AOL_News_Mail_Video_v6.47.2,search_edit_text_182_66,['get_friend_profile'],"[['Technology', 'Leroy Johnston', 'Sports', 'Leroy Johnston', 'Travel destinations in South Korea']]",[2],
de.kromke.andreas.opus1musicplayer,search_src_text_111_71,[],"[['Lofi Study', 'Jazz Music', 'New Music', 'Pop Hits', 'R&B Music']]",[3],
Petal_Maps–GPS_Navigation_v2.5.0.303(002),search_src_text_174_1600,"['get_friend_profile', 'get_friend_profile']","[['Daejeon Station', 'Daejeon, South Korea', 'Daejeon University', 'Ballina, Galway, Ireland', 'Taupo, New Zealand']]",[4],
Messages,search_src_text_138_106,['get_friend_profile'],"[['Hello', 'Friends gathering plan', 'Movie night', 'get_friend_profile({name: ""Michelle Sanders""})', 'Jack Walker']]",[103],get_friend_profile
Messages,message_edit_text_440_2154,"['get_friend_profile', 'get_friend_profile']","[['Hey, how have you been?', ""Hi there! How's your day going?"", 'Hey <get_friend_profile({name: ""Madison Reyes""})>. How\'s it going?', ""Hey Jamie Obrien! How's it going?"", ""Hey Santiago Martínez! How's it going?""]]",[102],get_friend_profile
Messages,recipients_editor_to_58_262,"['get_friend_profile', 'get_friend_profile', 'get_friend_profile', 'get_friend_profile']","[['Leroy Johnston', 'Rosaria Garnier', 'Santiago Martínez', 'Jamie Obrien', 'Michelle Sanders']]",[101],get_friend_profile
AutoScout24_Buy_sell_cars,textinput_filter_edittext_188_301,[],"[['BMW 3 Series', 'Samsung Galaxy S21', 'Mercedes-Benz C-Class', 'Audi A4', 'Toyota Camry']]",[5],
Calendar,title_63_238,['get_friend_profile'],"[['Meeting', 'Lunch with Michelle', 'Team Meeting', 'Birthday Party Celebration', 'Hiking Trip with Oscar']]",[104],get_friend_profile
Calendar,location_167_907,"['get_samsung_product_info', 'get_samsung_product_info', 'get_friend_profile']","[['Seoul, South Korea', 'Portarlington, Donegal, Ireland', 'Daejeon, South Korea', 'Seoul, South Korea', 'Galaxy Watch3']]",[105],
Calendar,note_text_167_1473,['get_friend_profile'],"[['This is an important meeting to discuss the project updates and next steps.', 'Looking forward to meeting new attendees at the event.', 'Remember to invite Michelle Sanders to the event. Her phone number is 081-176-3177.', 'Please bring your laptops and any necessary documents for the meeting.', 'Meeting agenda: Discuss project updates and next steps. Date: November 1, 6:00 PM - 7:00 PM.']]",[106],get_friend_profile
Tubi_Movies,password_53_1047,[],"[['Tubi@123!', 'Tubi@456!', 'Tubi@789!', 'Tubi@246!', 'Tubi@987*']]",[10],
Tubi_Movies,name_53_486,[],"[['Jade', 'Jade Green', 'Emma', 'Jade', 'Green']]",[6],
Tubi_Movies,search_input_box_50_214,[],"[['Avengers: Endgame', 'Spider-Man: Into the Spider-Verse', 'The Lord of the Rings: The Fellowship of the Ring', 'Inception', 'The Great Gatsby']]",[11],
